Company Name,Job Summary,Job Title,Location,Salary
DBRS,"Lead Data Scientist, US RMBS. The Lead Data Scientist role is a unique and exciting opportunity to take on global ownership of the mortgage modeling process....","Lead Data Scientist, US RMBS",New York,L
Celmatix,"We seek a Research Scientist to join our growing interdisciplinary team of biologists, bioinformatics scientists, and data scientists....",Research Scientist,New York,L
Schrodinger,"Data management in the Life Sciences. An engineer, developer, and/or scientist that loves solving practical problems....","Solutions Architect, Enterprise Informatics",New York,L
1105 Media,"Grow expertise in data related subject matter such as data protection and privacy issues, data management, analytics, etc....",Research Analyst,New York,L
Fitch Ratings,The model validation team within Credit Policy Group is looking for a quantitative analyst to work on model validation related projects. This is a temporary,Quantitative Analyst,New York,L
Intercept Pharmaceuticals,"Assist in timely review and clearance of data disclosure requests. Work with scientists, including licensing and collaboration partners, to identify inventions...",Patent Agent,New York,L
"Business Insider, Inc.","Proficiency or comfort with data and datasets; We're hiring a Research Analyst with strong writing, analytic, and data skills to join our growing team....",Research Analyst,New York,L
Adobe,"Senior Computer Scientist. Massive power of big data to help companies move from data to insight and. At Adobe, we’re....",Senior Computer Scientist,New York,L
"Numeric, LLC",Experience with Hadoop and related Big Data technologies. As a Customer Facing Data Scientist you will be expected to work with the Field Sales team members and...,Customer Facing Data Scientist,New York,L
Barnard College,"Maintain the highest level of detail and accuracy in data entry, reporting, fact finding, and writing. Facilitate the research process through the maintenance...",Prospect Research Analyst,New York,L
POLICE DEPARTMENT,"Extensive knowledge of applied statistics, analytics, machine learning, data science or big data tools....","CITY RESEARCH SCIENTIST, LEVEL II",New York,L
Simulmedia,Work closely with product managers and data scientists to develop measurement methodology. 5+ years of experience working with data....,Business Intelligence Engineer,New York,L
Memorial Sloan Kettering Cancer Center,Demonstrated experience in analyzing NGS derived data. Ensure generation of high-quality genome profiling data and integration of large complex datasets for...,"Postdoc - Precision Medicine, Cancer Genomics",New York,L
Outdoor Sportsman Group,Ability to conduct in-depth data analysis. Ability to work with large data sets. Seeks ways to automate reporting for recurring data analysis....,Research Analyst,New York,L
Memorial Sloan Kettering,"This will involve end-to-end processing that integrates existing tools as well as development of custom methods for data mining, annotation and analytics....",Bioinformatics Engineer,New York,L
